source_row_id,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,user_id,device_id,region,transaction_velocity,historical_average_amount,amount_deviation,high_transaction_velocity_triggered,unusual_device_triggered,unusual_region_triggered,high_transaction_amount_triggered,high_amount_deviation_triggered,high_transaction_velocity_explanation,unusual_device_explanation,unusual_region_explanation,high_transaction_amount_explanation,high_amount_deviation_explanation,ml_fraud_probability,ml_signal_available,behavioral_rule_points,ml_risk_points,risk_score,risk_level,triggered_rules,risk_explanation
26,23.0,1.17328461017079,0.353497876646456,0.28390506526532,1.1335633178795,-0.172577181842493,-0.916053706932115,0.36902484539083,-0.327260242196767,-0.24665102789456,-0.0461393022689538,-0.143418527309124,0.979350375717585,1.49228543545219,0.101417525935881,0.76147754528118,-0.014584082470356,-0.511640116553888,-0.32505635460906,-0.390933797720026,0.0278779087328671,0.0670033044874043,0.227811927638182,-0.150487224821759,0.43504510338369,0.724824579577241,-0.337082059875827,0.0163683792669046,0.0300411908366385,41.88,0,demo_user_045,demo_device_016,Central,2,57.45816860685599,0.7288780867095513,False,True,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device differs from this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,3.1476573e-06,True,20,0.00018885944,20.0,LOW,Unusual Device,Risk score 20.00: 20 behavioral-rule points and 0.00 ML points. Triggered rules: Unusual Device.
88,56.0,0.0869961905163749,-0.0519887420255876,-0.497882441560081,-3.1519078565141,2.5584003623555,2.79667096978255,0.470283270790146,0.265332802943643,0.919513460198576,-0.735585687981152,0.208724948743441,0.0171306492463427,-0.110866963820059,-0.0426768695073913,1.65414036352275,-0.392648022607194,-0.875960217366143,0.183946189187007,1.25938002787067,0.167231088284993,-0.239425579903453,-0.437342143719405,0.0184257681232037,1.01303776342658,-0.258926558625905,-0.293189252573023,-0.394955581242805,-0.435995593150792,10.84,0,demo_user_387,demo_device_187,South,2,22.543118058379726,0.4808562849170972,False,False,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,5.649279e-07,True,0,3.3895674e-05,0.0,LOW,None,Risk score 0.00: 0 behavioral-rule points and 0.00 ML points. Triggered rules: None.
118,76.0,-0.997175759175411,0.2283653016759,1.71533993769907,-0.42006676656004,0.56083784473761,0.564725048029707,0.84604655039212,0.197490821018941,-0.0972018796653061,-0.439346826403148,1.30907077715745,0.859703136161211,-0.476390307910938,-0.142352493671256,-0.974915531185412,-0.606945204714783,0.0053709711164228,-0.999965377075203,-0.77409641536118,0.244289447785577,-0.0702407620402652,0.0154449531625397,0.0726510659990363,-0.272271751067005,-0.0876815148243494,0.138132122510945,0.125901816000378,-0.0630223201763689,86.43,0,demo_user_328,demo_device_128,East,1,46.47570278628387,1.8596813994926322,False,False,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,1.61602e-06,True,0,9.69612e-05,0.0,LOW,None,Risk score 0.00: 0 behavioral-rule points and 0.00 ML points. Triggered rules: None.
183,118.0,1.4310534091187,-0.648101141301022,-0.331663900979847,-1.20738260249738,-0.0127859430121093,0.704439953997981,-0.732125587979523,0.183138871604336,-0.878334384179481,0.767906431093333,0.0574192744490524,-0.591459258951978,0.0045135382073197,0.0480512782477063,0.44239170146346,1.53111654186838,-0.325105203634955,-0.724348777941261,1.09984578404832,0.100777423742339,0.112748785409181,0.222295603641531,-0.244590547073966,-1.68815810712019,0.609778218339421,-0.0883659732751527,0.0104378007937454,-0.0144986111374894,20.0,0,demo_user_220,demo_device_020,North,1,23.45507599308672,0.8526938904779039,False,False,True,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region differs from this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,3.1285814e-05,True,15,0.0018771489,15.0,LOW,Unusual Region,Risk score 15.00: 15 behavioral-rule points and 0.00 ML points. Triggered rules: Unusual Region.
238,158.0,-0.159985036673326,-0.611632858229461,2.08141930157426,-1.0481284532518,-1.08345577175002,0.254356945302907,-0.782936554073426,0.264001941205066,0.404509215360876,-0.232303544717752,-2.09316827089706,0.465104232566179,0.650495508341059,-1.51449222349658,-2.53497822597074,-1.78680271755936,0.291461234226018,0.85193607648474,-0.564583751655944,-0.510184960072474,-0.365403740456431,-0.127932001202657,0.163175571365982,0.104227427084037,-1.28676528715754,0.74762533595901,0.241777014043167,0.237055507193741,10.0,0,demo_user_217,demo_device_017,South,2,27.378441826939806,0.3652508810841168,False,False,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,1.2857967e-06,True,0,7.71478e-05,0.0,LOW,None,Risk score 0.00: 0 behavioral-rule points and 0.00 ML points. Triggered rules: None.
254,179.0,-0.431091691864319,0.890751790096124,1.72054284650876,-0.238246455182136,0.273262886790457,-0.970190618616908,1.24991037618054,-0.48367608591831,-0.871156531752796,-0.34568909971149,-0.0093603773592827,0.168270519674582,0.715169146085506,0.0178959375398126,1.03167394989099,-0.380192799690851,-0.0434599612611935,-0.857500149283869,1.16742233748176,0.290504853232492,-0.412643827424996,-1.11200492344479,-0.0576836791434496,0.430112171429807,-0.0632502615932806,0.723811360988256,-0.210696830101016,-0.161057644023526,27.99,0,demo_user_430,demo_device_038,Central,2,90.68384952876733,0.30865474001653215,False,True,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device differs from this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,5.663666e-07,True,20,3.3981996e-05,20.0,LOW,Unusual Device,Risk score 20.00: 20 behavioral-rule points and 0.00 ML points. Triggered rules: Unusual Device.
286,205.0,1.18239888187218,0.0594886883256737,0.310672611689593,0.828817334970969,0.341209077754672,1.11259294696874,-0.29277795443855,0.287394090811614,0.268307130650127,-0.0875754273725536,0.151276896671448,1.31588268320967,0.930451889587228,-0.138173544724554,-0.521815311538462,0.0951495833798615,-0.626292731708047,-0.174092778625185,0.488467737374341,-0.061462540839839,-0.337817781006922,-0.77684049947131,-0.0564860598070945,-1.35698586973381,0.475789717162321,-0.546518635414247,0.0630347385255088,0.0080466958288912,12.99,0,demo_user_043,demo_device_043,East,1,30.58202047459945,0.42475937817088055,False,False,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,2.7316177e-05,True,0,0.0016389706,0.0,LOW,None,Risk score 0.00: 0 behavioral-rule points and 0.00 ML points. Triggered rules: None.
321,235.0,-0.663511067150586,-0.0444432255338869,1.02925331506786,-2.49807231003764,-1.35008455718738,-0.7987742916063,-0.581071299268623,0.480997363804379,-2.51703663101124,0.961802327296045,0.656159003567114,-0.75985838488446,-0.522604319990123,0.213254241828541,-0.782823826125467,0.110467114188951,0.192158139215554,0.695763388886298,-0.56920944461924,-0.357884369037238,-0.0518952774038794,0.0708455243255517,0.0393211650632334,0.275750183021649,-0.330251339938331,-0.42393595530703,0.251988906502669,0.133956989596954,25.0,0,demo_user_349,demo_device_149,West,2,10.043864971251141,2.4890816504959252,False,False,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,6.850899e-07,True,0,4.1105395e-05,0.0,LOW,None,Risk score 0.00: 0 behavioral-rule points and 0.00 ML points. Triggered rules: None.
371,271.0,1.1961928083246,0.245161002767118,0.631947467744274,0.642940901741353,-0.413132654617476,-0.699728161455252,0.0195327399787984,-0.112500121137387,-0.0470571437821009,-0.122711470246865,0.371980575188798,0.794397765137273,0.674412675332186,0.200158679730578,1.2118826795738,-0.105518257708414,-0.0508584114809435,-1.15157869327297,-0.603069525451054,-0.109478011379304,-0.203867812068993,-0.533641292389461,0.201929023781437,0.406872401018654,0.116137340294958,0.102674898843735,-0.0091211984018684,0.0197004574469535,0.89,0,demo_user_101,demo_device_101,North,2,9.224515437115729,0.09648203269507243,False,False,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,2.616361e-06,True,0,0.00015698165,0.0,LOW,None,Risk score 0.00: 0 behavioral-rule points and 0.00 ML points. Triggered rules: None.
391,284.0,-0.764965866218257,1.33950625823146,1.20938900841593,0.005939376535885,-0.331807720416276,-0.91924268757284,0.434379874372525,0.308839764048673,-0.698558283850425,-0.568186410059283,-0.397372655340404,0.572462624380545,0.965210890359118,0.28558843133616,0.713760962579374,0.280847041558457,-0.274688875295131,-0.41823132951761,0.0006555992996154,0.0620441546861794,-0.170506845982771,-0.534737577736289,0.0431756428613801,0.388210346746866,-0.137030692191127,0.0704177808183167,0.142734817884453,0.06053724926975,11.99,0,demo_user_048,demo_device_048,East,4,35.12065309894816,0.341394562516239,False,False,False,False,False,Synthetic velocity is below the demo threshold.,Synthetic device matches this demo user's usual device.,Synthetic region matches this demo user's usual region.,Real Kaggle Amount is below the subset 99th-percentile threshold (1115.63).,Synthetic amount is below 3.0 times the synthetic historical average.,2.566385e-07,True,0,1.539831e-05,0.0,LOW,None,Risk score 0.00: 0 behavioral-rule points and 0.00 ML points. Triggered rules: None.
